nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Katekyoo Hitman Reborn! Battle Arena,PSP,Fighting,Marvelous Interactive,0.04,,,,,,
Burnout Paradise,X360,Racing,Electronic Arts,1.3,22-Jan-08,88.0,68.0,6.9,236.0,Criterion Games
I Love Horses: Rider's Paradise,Wii,Simulation,Destineer,0.01,30-Mar-11,,,tbd,,Destineer
Sengoku Hime: Senkou no Taika - Akatsuki no Haryuu,PS3,Action,SystemSoft Alpha,0.01,,,,,,
SingStar Apres-Ski Party 2,PS3,Misc,Sony Computer Entertainment,0.04,,,,,,
Just Dance: Disney Party,X360,Misc,Ubisoft,0.1,23-Oct-12,,,tbd,,"Disney Interactive Studios, Land Ho!"
Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks,2.65,19-Oct-10,82.0,57.0,7.6,339.0,Obsidian Entertainment
Cabela's Outdoor Adventures (2009),PS3,Sports,Activision Value,0.21,9-Sep-09,,,tbd,,FUN Labs
Transformers: Revenge of the Fallen,PS3,Action,Activision,0.64,23-Jun-09,63.0,41.0,6.1,17.0,"Luxoflux, Inc."
Armored Core V,PS3,Simulation,Namco Bandai Games,0.36,20-Mar-12,65.0,26.0,7.1,43.0,From Software
BioShock Infinite,X360,Shooter,Take-Two Interactive,1.63,26-Mar-13,93.0,33.0,8.4,1335.0,Irrational Games
Shiratsuyu no Kai,PSP,Adventure,Idea Factory,0.02,,,,,,
Red Steel,Wii,Shooter,Ubisoft,0.66,19-Nov-06,63.0,54.0,6.8,109.0,Ubisoft Paris
Ys: The Oath in Felghana,PSP,Role-Playing,Falcom Corporation,0.13,2-Nov-10,80.0,25.0,8.5,46.0,Falcom
Monopoly Collection,Wii,Misc,Electronic Arts,0.08,1-Nov-11,,,tbd,,Electronic Arts
Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),PSP,Action,Konami Digital Entertainment,0.01,,,,,,
Blood Drive,PS3,Racing,Activision,0.06,2-Nov-10,47.0,11.0,tbd,,Sidhe Interactive
Sengoku Basara 3 Utage,PS3,Action,Capcom,0.22,,,,,,
Medieval Games,Wii,Action,Vir2L Studios,0.15,20-Oct-09,,,5.9,13.0,N-Fusion Interactive Entertainment Corp.
MX vs. ATV: Alive,PS3,Racing,THQ,0.39,10-May-11,61.0,41.0,6.6,10.0,THQ Digital Studio Phoenix
Fantastic Pets,X360,Simulation,THQ,0.34,12-Apr-11,66.0,11.0,7.5,4.0,Blitz Games Studios
Bubble Bobble Evolution,PSP,Puzzle,Rising Star Games,0.03,19-Dec-06,47.0,5.0,tbd,,Opus
Accel World: Ginyoku no Kakusei,PSP,Adventure,Namco Bandai Games,0.03,,,,,,
Minna no Ennichi,3DS,Action,Namco Bandai Games,0.05,,,,,,
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,Misc,Hudson Soft,0.09,,,,,,
No More Heroes: Heroes' Paradise,X360,Action,Marvelous Interactive,0.02,,,,,,
SoulCalibur V,X360,Fighting,Namco Bandai Games,0.52,31-Jan-12,77.0,56.0,6.3,99.0,Project Soul
Jikkyou Powerful Pro Yakyuu Portable 4,PSP,Sports,Konami Digital Entertainment,0.27,,,,,,
Dreamworks Madagascar Kartz,X360,Racing,Activision,0.23,23-Oct-09,,,tbd,,Sidhe Interactive
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,PSP,Strategy,Namco Bandai Games,0.16,,,,,,
Chaos;Head - Love Chu*Chu!,PSP,Adventure,5pb,0.04,,,,,,
Anubis II,Wii,Platform,Metro 3D,0.06,18-Sep-07,19.0,5.0,2.2,21.0,Data Design Interactive
Rugby League Live,X360,Sports,Home Entertainment Suppliers,0.02,,,,,,
Sing Party,WiiU,Misc,Nintendo,0.08,18-Nov-12,60.0,21.0,4.6,14.0,FreeStyleGames
Spectrobes: Origins,Wii,Role-Playing,Disney Interactive Studios,0.18,18-Aug-09,71.0,22.0,8.3,12.0,Genki
The Last Airbender,Wii,Action,THQ,0.2,29-Jun-10,53.0,4.0,6.6,5.0,THQ
Beaterator,PSP,Misc,Take-Two Interactive,0.06,29-Sep-09,80.0,44.0,8.2,10.0,Rockstar Leeds
Spider-Man: Web of Shadows,X360,Action,Activision,0.39,21-Oct-08,68.0,57.0,8.7,66.0,Shaba Games
Yakuza 4,PS3,Adventure,Sega,0.89,15-Mar-11,78.0,59.0,7.8,89.0,Sega
The Smurfs 2,WiiU,Action,Ubisoft,0.02,23-Jul-13,42.0,5.0,4.5,12.0,WayForward
LEGO Indiana Jones: The Original Adventures,X360,Adventure,Activision,3.66,3-Jun-08,77.0,60.0,7.4,42.0,Traveller's Tales
Asphalt 3D,3DS,Racing,Ubisoft,0.4,22-Mar-11,43.0,37.0,3.9,18.0,Gameloft
Crimson Gem Saga,PSP,Role-Playing,Sega,0.06,26-May-09,78.0,20.0,8,24.0,"IronNos Co.,Ltd."
Spelling Challenges and more!,PSP,Misc,Crave Entertainment,0.25,,,,,,
Daiya no Kuni no Alice: Wonderful Mirror World,PSP,Adventure,Quinrose,0.01,,,,,,
"Blast Works: Build, Trade, Destroy",Wii,Shooter,Eidos Interactive,0.09,11-Jun-08,78.0,30.0,8.1,15.0,BudCat
Sonic & SEGA All-Stars Racing,PS3,Racing,Sega,0.82,,,,,,
Spectral Force 3,X360,Role-Playing,Idea Factory,0.08,29-Jul-08,59.0,16.0,7.6,16.0,Xpec
Darksiders,X360,Action,THQ,1.01,5-Jan-10,83.0,81.0,7.8,244.0,Vigil Games
LEGO Harry Potter: Years 1-4,PS3,Adventure,Warner Bros. Interactive Entertainment,1.09,29-Jun-10,79.0,42.0,7.9,32.0,Traveller's Tales
Doctor Lautrec and the Forgotten Knights,3DS,Adventure,Konami Digital Entertainment,0.12,13-Dec-11,53.0,19.0,7,7.0,WinkySoft
Baseball Blast!,Wii,Sports,Take-Two Interactive,0.14,25-Sep-09,,,8,4.0,WayForward
Overlord,X360,Strategy,Codemasters,0.38,26-Jun-07,76.0,47.0,8.4,59.0,Triumph Studios
DanceDanceRevolution,Wii,Simulation,Konami Digital Entertainment,0.32,16-Nov-10,,,tbd,,Konami
LEGO Indiana Jones 2: The Adventure Continues,PS3,Adventure,Activision,0.8,17-Nov-09,70.0,25.0,6.4,8.0,Traveller's Tales
We Sing,Wii,Misc,Nordic Games,0.69,,,,,,
Looney Tunes: Acme Arsenal,X360,Action,Warner Bros. Interactive Entertainment,0.08,9-Oct-07,40.0,15.0,6.6,12.0,Red Tribe
"Horrid Henry: The Good, The Bad and The Bugly",3DS,Platform,Asylum Entertainment,0.02,,,,,,
Crash of the Titans,PSP,Action,Vivendi Games,0.59,16-Oct-07,,,8.2,13.0,SuperVillain Studios
Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,PSP,Adventure,Idea Factory,0.03,,,,,,
Monster Trux Offroad,Wii,Racing,Popcorn Arcade,0.02,31-Dec-07,,,tbd,,Data Design Interactive
WSC Real 11: World Snooker Championship,PS3,Sports,Koch Media,0.05,,,,,,
Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,Misc,Square Enix,0.11,,,,,,
Major League Baseball 2K7,PSP,Sports,Take-Two Interactive,0.09,26-Feb-07,61.0,5.0,tbd,,Visual Concepts
